BdprotoID,SourceLanguageName,SpecificDialect,Phoneme,PhonemeNotes,Allophone,AllophoneNotes
,,,ɒ,,,
,,,i,not in final position except before clitics,ĩ,
,,,iː,,,
,,,u,not in final position except before clitics,ũ,
,,,uː,,,
,,,e,,eː,
,,,o,,oː,
,,,ə,uncertain,əː,
,,,r̩,uncertain,,
,,,p,,,
,,,t,,,
,,,c,,,
,,,k,,,
,,,b,,β,before ʒ
,,,d,,,
,,,ɟ,,,
,,,ɡ,,ɣ,before ʒ
,,,f,,,
,,,θ,,ð,after x and f 
,,,v,,β,after θ
,,,s,Skaervo distinguishes between a dental and a alveolar sibilant unlike the IPA,,
,,,z,,,
,,,ɕ,,,
,,,ʑ,,,
,,,sʲ,Skaervo adds a palatal sibilant unlike the IPA,,
,,,h,,ç,before j when accent lies on the following silable
,,,x,,,
,,,ŋ,,"ŋʷ, ŋʲ",
,,,m,,m̥ ,only in hm̥
,,,n,,,
,,,r,,,
,,,j,,,
,,,,,,
2006,Classical Armenian,,a,,,
,,,e,,,
,,,ɛ,,,
,,,i,,,
,,,o,,,
,,,u,written as ow,,
,,,ə,epenthetic,,
,,,pʰ,,,
,,,tʰ,,,
,,,tsʰ,,,
,,,t̠ʃʰ,,,
,,,kʰ,,,
,,,p,,,
,,,t,,,
,,,ts,,,
,,,t̠ʃ,,,
,,,k,,,
,,,b,,,
,,,d,,,
,,,dz,,,
,,,d̠ʒ,,,
,,,ɡ,,,
,,,s,,,
,,,ʃ,,,
,,,x,,,
,,,h,,,
,,,v,the exact pronounciation is unknown,w,"v occurs word-initial and after o, w in the digraph ow standing for [u], after a/e/i and in C_V in oblique cases of polysillables ending in -i. Both sounds seem to contrast with the digraph ow in the Position C_V."
,,,z,,,
,,,ʒ,,,
,,,m,,,
,,,n,,,
,,,ʎ,,,
,,,ʟ,,,
,,,r,,,
,,,ɹ,,,
,,,j,,,
,,,,,,
2007,Middle Egyptian,,a,,,
,,,i,,,
,,,u,,,
,,,p,,,
,,,b,,,
,,,tʼ,,,
,,,t,,,
,,,d,,ʕ,may have started as a d and become ʕ
,,,cʼ,,,
,,,c,,,
,,,kʼ,,,
,,,k,,,
,,,q,,,
,,,ʔ,,,
,,,f,,,
,,,s,,,
,,,ʃ,,,
,,,ç,,,
,,,x,,,
,,,ħ,,,
,,,h,,,
,,,m,,,
,,,n,,,
,,,r,,,
,,,w,,,
,,,j,,,
,,,,,,
2008,Hattic,,a,,,
,,,i,maybe no distinction between i and e,,
,,,e,maybe no distinction between i and e,,
,,,u,,,
,,,p,,,
,,,t,,,
,,,k,,,
,,,ts,,,
,,,s,,,
,,,ɬ,"uncertain, maybe there was a sound between t and l",,
,,,ħ,"the phonetic realization is unclear, could also be h or something similar",,
,,,m,,,
,,,n,,,
,,,l,,,
,,,r,does not occur word-initially,,
,,,w,,,
,,,v,,,
,,,j,,,
,,,,,,
2009,Hurrian,,a,,,
,,,i,,,
,,,u,,,
,,,e,,,
,,,o,,,
,,,aː,,,
,,,iː,,,
,,,uː,,,
,,,eː,,,
,,,oː,,,
,,,p,,b,"intervocalic, word-final and in contact with m/n/l/r"
,,,t,,d,"intervocalic, word-final and in contact with m/n/l/r"
,,,k,,ɡ,"intervocalic, word-final and in contact with m/n/l/r"
,,,ts,uncertain,dz,"intervocalic, word-final and in contact with m/n/l/r"
,,,f,,v,"intervocalic, word-final and in contact with m/n/l/r"
,,,s,,z,"intervocalic, word-final and in contact with m/n/l/r"
,,,h,"the phonetic realization is unclear, could also be ħ or something similar",voiced variant of the respective sound,"intervocalic, word-final and in contact with m/n/l/r"
,,,m,,,
,,,n,,,
,,,l,does not occur word-initially,,
,,,r,does not occur word-initially,,
,,,w,,,
,,,j,,,
,,,pː,,,
,,,tː,,,
,,,kː,,,
,,,tsː,,,
,,,fː,,,
,,,sː,,,
,,,hː,"the phonetic realization is unclear, could also be ħː or something similar",,
,,,mː,,,
,,,nː,,,
,,,lː,does not occur word-initially,,
,,,wː,,,
,,,jː,,,
,,,,,,
2010,Kassite,,a,,,
,,,i,,,
,,,u,,,
,,,e,,,
,,,o,,,
,,,p,,b,before sonorants and vowels
,,,t,,d,before sonorants and vowels
,,,ts,,dz,before sonorants and vowels
,,,k,,ɡ,before sonorants and vowels
,,,kʷ,"might be a phoneme, because B and G vary in writing sometimes",ɡʷ,before sonorants and vowels
,,,s,,z,before sonorants and vowels
,,,x,,ɣ,before sonorants and vowels
,,,m,,,
,,,n,,,
,,,l,,,
,,,r,,,
,,,j,,,
,,,,,,
2011,Palaic,,a,,,
,,,i,,,
,,,u,,,
,,,e,maybe an allophone of i,,
,,,aː,,,
,,,iː,,,
,,,uː,,,
,,,eː,,,
,,,p,,,
,,,t,,,
,,,ts,maybe z,,
,,,k,,,
,,,kʷ,,,
,,,f,only in loanwords,,
,,,s,,,
,,,ħ,"the phonetic realization is unclear, could also be h or something similar",,
,,,ħʷ,"uncertain, only in 1 word",,
,,,m,,,
,,,n,,,
,,,l,,,
,,,r,does not occur word-initially,,
,,,w,,,
,,,j,,,
,,,b,"the phonetic contrast to p is unclear, could also be gemminated or aspired to unaspired, ",,
,,,d,"the phonetic contrast to t is unclear, could also be gemminated or aspired to unaspired",,
,,,tsː,maybe zː,,
,,,ɡ,"the phonetic contrast to k is unclear, could also be gemminated or aspired to unaspired",,
,,,ʕ,"the phonetic contrast to ħ is unclear, could also be gemminated",,
,,,,,,
2012,Old Persian,,a,,,
,,,i,,,
,,,u,,,
,,,aː,,,
,,,iː,no clear evidence due to the writing system,,
,,,uː,no clear evidence due to the writing system,,
,,,p,,,
,,,t,,,
,,,t̠ʃ,,,
,,,k,,,
,,,b,,,
,,,d,,,
,,,d̠ʒ,,,
,,,ɡ,,,
,,,f,,,
,,,θ,,,
,,,s,,,
,,,ts,,,
,,,ʃ,,,
,,,x,,,
,,,h,,,
,,,z,,,
,,,m,,,
,,,n,,,
,,,l,occurs in loanwords only,,
,,,r,,,
,,,w,,,
,,,j,,,
,,,,,,
2013,Phrygian,Paleo-Phrygian,i,,,
,,,e,,,
,,,a,,,
,,,o,,,
,,,u,,,
,,,iː,,,
,,,aː,,,
,,,oː,,,
,,,uː,,,
,,,p,,,
,,,t,,,
,,,ts,,,
,,,k,,,
,,,b,,,
,,,d,,,
,,,dz,,,
,,,ɡ,,,
,,,s,,,
,,,m,same as n word-finally,,
,,,n,same as n word-finally,,
,,,l,,,
,,,r,,,
,,,w,,,
,,,j,,,
,,,,,,
2014,Phrygian,Neo-Phrygian,a,,,
,,,i,,,
,,,u,,,
,,,e,,,
,,,o,,,
,,,p,,,
,,,t,,,
,,,k,,,
,,,b,,,
,,,d,,,
,,,z,,,
,,,ɡ,,,
,,,s,,,
,,,m,not word-finally,,
,,,n,not word-finally,,
,,,l,,,
,,,r,,,
,,,w,,,
,,,j,,,
,,,,,,
2015,Old South Arabic,,iː,may be short,,
,,,uː,may be short,,
,,,a,,,
,,,oː,,,
,,,eː,,,
,,,tʼ,,,
,,,t,,,
,,,k,,,
,,,q,,,
,,,ʔ,,,
,,,b,,,
,,,d,,,
,,,ɡ,,,
,,,tsʼ,,,
,,,θʼ,,,
,,,ɬʼ,,,
,,,f,,,
,,,θ,,,
,,,s,,,
,,,ɬ,,,
,,,ʃ,,,
,,,χ,,,
,,,ħ,,,
,,,h,,,
,,,ð,,,
,,,z,,,
,,,ɣ,,,
,,,ʕ,,,
,,,m,,,
,,,n,,,
,,,l,,,
,,,r,,,
,,,w,,,
,,,j,,,
,,,tʼː,,,
,,,tː,,,
,,,kː,,,
,,,qː,,,
,,,ʔː,,,
,,,bː,,,
,,,dː,,,
,,,ɡː,,,
,,,tsʼː,,,
,,,θʼː,,,
,,,ɬʼː,,,
,,,fː,,,
,,,θː,,,
,,,sː,,,
,,,ɬː,,,
,,,ʃː,,,
,,,χː,,,
,,,ħː,,,
,,,hː,,,
,,,ðː,,,
,,,zː,,,
,,,ɣː,,,
,,,ʕː,,,
,,,mː,,,
,,,nː,,,
,,,lː,,,
,,,rː,,,
,,,wː,,,
,,,jː,,,
,,,,,,
2016,Sumerian,,i,,,
,,,e,,,
,,,a,,,
,,,o,discussed and seldomly accepted,,
,,,u,,,
,,,iː,,,
,,,eː,,,
,,,aː,,,
,,,oː,discussed and seldomly accepted,,
,,,uː,,,
,,,b,"the phonetic contrast to p is unclear, could also be unaspired to aspired",,
,,,d,"the phonetic contrast to t is unclear, could also be unaspired to aspired",,
,,,ɡ,"the phonetic contrast to k is unclear, could also be unaspired to aspired",,
,,,p,,,
,,,t,,,
,,,ts,,,
,,,k,,,
,,,s,,,
,,,ʃ,,,
,,,x,,,
,,,h,uncertain,,
,,,m,,,
,,,n,,,
,,,ŋ,,,
,,,l,,,
,,,l,"uncertain, if existing probably [ɬ]",,
,,,r,,,
,,,ř,"discussed and with unclear phonetic realisation, maybe even [tsʰ]",,
,,,w,,,
,,,j,,,
,,,,,,
2017,Ugaritic,,i,,,
,,,a,,,
,,,u,,,
,,,iː,,,
,,,eː,,,
,,,aː,,,
,,,oː,,,
,,,uː,,,
,,,tʼ,,,
,,,tsʼ,,,
,,,kʼ,,,
,,,p,,,
,,,t,,,
,,,ts,there is a shift to s in younger texts,,
,,,k,,,
,,,ʔ,,,
,,,b,,,
,,,d,,,
,,,dz,,,
,,,ɡ,,,
,,,ðʼ,,,
,,,θ,,,
,,,ð,,,
,,,ʃ,,,
,,,x,sometimes seen as uvular χ instead of the velar x,,
,,,ɣ,sometimes seen as uvular ʁ instead of the velar ɣ,,
,,,ħ,,,
,,,ʕ,,,
,,,m,,,
,,,n,,,
,,,l,,,
,,,r,,,
,,,w,,,
,,,j,,,
,,,,,,
2018,Urartian,,a,,,
,,,i,,ə,word-finally
,,,u,,,
,,,e,,ə,word-finally
,,,aː,,,
,,,iː,,,
,,,uː,,,
,,,eː,,,
,,,tʼ,,,
,,,sʼ,,,
,,,kʼ,,,
,,,b,,,
,,,d,,,
,,,ɡ,,,
,,,p,,,
,,,t,,,
,,,ts,,,
,,,k,,,
,,,ʔ,,,
,,,s,,,
,,,z,,,
,,,x,,,
,,,m,,,
,,,n,,,
,,,l,,,
,,,r,does not occur word-initially,,
,,,w,,,
,,,j,,,
,,,,,,
2019,Luwian,Cunieform Luwian,a,,,
,,,i,,,
,,,u,,,
,,,aː,,,
,,,iː,,,
,,,uː,,,
,,,p,,,
,,,t,,,
,,,ts,,,
,,,k,,,
,,,s,,,
,,,ħ,"the phonetic realization is unclear, could also be x or something similar",,
,,,ʕ,,,
,,,m,,,
,,,n,,,
,,,l,,,
,,,r,does not occur word-initially,,
,,,w,,,
,,,j,,,
,,,pː,"the phonetic contrast to p is unclear, could also be voiced vs unvoiced or aspired to unaspired",,
,,,tː,"the phonetic contrast to t is unclear, could also be voiced vs unvoiced or aspired to unaspired",,
,,,tsː,,,
,,,kː,"the phonetic contrast to k is unclear, could also be voiced vs unvoiced or aspired to unaspired",,
,,,sː,,,
,,,ħː,,,
,,,ʕː,,,
,,,mː,,,
,,,nː,,,
,,,lː,,,
,,,rː,,,
,,,,,,
2020,Phoenician,,a,,,
,,,i,,,
,,,u,,,
,,,iː,,,
,,,uː,,,
,,,eː,,,
,,,oː,,,
,,,tʼ,,,
,,,tsʼ,,,
,,,kʼ,,,
,,,p,,,
,,,t,,,
,,,ts,,,
,,,k,,,
,,,ʔ,,,
,,,b,,,
,,,d,,,
,,,ʃ,,,
,,,ɡ,,,
,,,s,,,
,,,x,,,
,,,ħ,,,
,,,h,,,
,,,ɣ,,,
,,,ʕ,,,
,,,m,,,
,,,n,,,
,,,l,,,
,,,r,,,
,,,w,,,
,,,j,,,
