									
	Numero	Nom	Code	APICodeEntier	CaractHex	Ajouter sous Excel	Caracteristique	APICode	CodeBase
	73	PROTO-LAKKIA	1003	301	0061	a	low central unrnd perif vowel	a	20
	74	PROTO-LAKKIA	1003	313	006125BA	a►	long low central unrnd perif vowel	a…	20
	75	PROTO-LAKKIA	1003	336	00610069	ai	low central unrnd thfu diph	ai	20
	76	PROTO-LAKKIA	1003	343	00610075	au	low central unrnd thbr diph	au	20
	77	PROTO-LAKKIA	1003	350	0062	b	vd bilabial stp	b	20
	78	PROTO-LAKKIA	1003	374	0064	d	vd alveolar stp	d	20
	79	PROTO-LAKKIA	1003	416	0064005A2015	dZ―	vd alveolar sib affricate	dz	20
	80	PROTO-LAKKIA	1003	420	0065	e	himid front unrnd perif vowel	e	20
	81	PROTO-LAKKIA	1003	422	006525BA	e►	long himid front unrnd perif vowel	e…	20
	82	PROTO-LAKKIA	1003	427	00650069	ei	himid front unrnd thfu diph	ei	20
	83	PROTO-LAKKIA	1003	430	00650075	eu	himid front unrnd thbr diph	eu	20
	84	PROTO-LAKKIA	1003	434	0066	f	vl labdent fricative	f	20
	85	PROTO-LAKKIA	1003	439	0067	g	vd velar stp	g	20
	86	PROTO-LAKKIA	1003	474	0068	h	vl glottal fricative	h	20
	87	PROTO-LAKKIA	1003	490	006C00B0	l°	vl alveolar laterapprox	l9	20
	88	PROTO-LAKKIA	1003	526	007200B0	r°	vl alveolar trill	r9	20
	89	PROTO-LAKKIA	1003	534	0069	i	high front unrnd perif vowel	i	20
	90	PROTO-LAKKIA	1003	539	006925BA	i►	long high front unrnd perif vowel	i…	20
	91	PROTO-LAKKIA	1003	540	00692202	i∂	high front unrnd tmcu diph	i´	20
	92	PROTO-LAKKIA	1003	542	006900E8	iè	high front unrnd tlmfu diph	iE	20
	93	PROTO-LAKKIA	1003	560	00690065	ie	high front unrnd thmfu diph	ie	20
	94	PROTO-LAKKIA	1003	564	00690075	iu	high front unrnd thbr diph	iu	20
	95	PROTO-LAKKIA	1003	570	006A	j	vd palatal approxi	j	20
	96	PROTO-LAKKIA	1003	575	006B	k	vl velar stp	k	20
	97	PROTO-LAKKIA	1003	588	006B0125	kĥ	vl aspirate velar stp	kÓ	20
	98	PROTO-LAKKIA	1003	600	006C	l	vd alveolar laterapprox	l	20
	99	PROTO-LAKKIA	1003	623	006D	m	vd bilabial nasal	m	20
	100	PROTO-LAKKIA	1003	637	006E	n	vd alveolar nasal	n	20
	101	PROTO-LAKKIA	1003	224	014B	ŋ	vd velar nasal	N	20
	102	PROTO-LAKKIA	1003	693	006F	o	himid back rounded perif vowel	o	20
	103	PROTO-LAKKIA	1003	706	006F25BA	o►	long himid back rounded perif vowel	o…	20
	104	PROTO-LAKKIA	1003	714	006F0069	oi	himid back rounded thfu diph	oi	20
	105	PROTO-LAKKIA	1003	719	006F0075	ou	himid back rounded thbr diph	ou	20
	106	PROTO-LAKKIA	1003	723	0070	p	vl bilabial stp	p	20
	107	PROTO-LAKKIA	1003	735	00700125	pĥ	vl aspirate bilabial stp	pÓ	20
	108	PROTO-LAKKIA	1003	763	0072	r	vd alveolar trill	r	20
	109	PROTO-LAKKIA	1003	786	0073	s	vl alveolar sib fricative	s	20
	110	PROTO-LAKKIA	1003	799	0074	t	vl alveolar stp	t	20
	111	PROTO-LAKKIA	1003	829	007400AF222B2015	t¯∫―	vl postalveol sib affricate	tS	20
	112	PROTO-LAKKIA	1003	844	00740125	tĥ	vl aspirate alveolar stp	tÓ	20
	113	PROTO-LAKKIA	1003	853	0074007320150125	ts―ĥ	vl aspirate alveolar sib affricate	tsÓ	20
	114	PROTO-LAKKIA	1003	855	0075	u	high back rounded perif vowel	u	20
	115	PROTO-LAKKIA	1003	862	007525BA	u►	long high back rounded perif vowel	u…	20
	116	PROTO-LAKKIA	1003	871	00750069	ui	high back rounded thfu diph	ui	20
	117	PROTO-LAKKIA	1003	894	0077	w	vd labvel approxi	w	20
	118	PROTO-LAKKIA	1003	176	003F0175	?ŵ	labzd vl glottal stp	/w	20
	119	PROTO-LAKKIA	1003	488	006A00B0	j°	vl palatal approxi	j9	20
	120	PROTO-LAKKIA	1003	532	0057	W	vl labvel approxi	w9	20
	121	PROTO-LAKKIA	1003	673	0145	Ņ	vd palatal nasal	≠	20
	122	PROTO-LAKKIA	1003	863	00752202	u∂	high back rounded tmcu diph	u´	20
	123	PROTO-LAKKIA	1003	925	003F0145	?Ņ	pglot vd palatal nasal	/≠	20
	124	PROTO-LAKKIA	1003	926	003F0062	?b	pglot vd bilabial stp	/b	20
	125	PROTO-LAKKIA	1003	928	003F006A	?j	pglot vd palatal approxi	/j	20
	126	PROTO-LAKKIA	1003	929	003F006C	?l	pglot vd alveolar laterapprox	/l	20
	127	PROTO-LAKKIA	1003	930	003F006D	?m	pglot vd bilabial nasal	/m	20
	128	PROTO-LAKKIA	1003	931	003F006E	?n	pglot vd alveolar nasal	/n	20
	129	PROTO-LAKKIA	1003	932	003F014B	?ŋ	pglot vd velar nasal	/N	20
	130	PROTO-LAKKIA	1003	933	003F0072	?r	pglot vd alveolar trill	/r	20
	131	PROTO-LAKKIA	1003	949	006125BA0069	a►i	long low central unrnd thfu diph	a…i	20
	132	PROTO-LAKKIA	1003	950	006125BA0075	a►u	long low central unrnd thbr diph	a…u	20
	133	MALAYO POLYNESIAN	1004	173	003F	?	vl glottal stp	/	20
	134	MALAYO POLYNESIAN	1004	177	0045	E	himid central unrnd vowel	´	20
	135	MALAYO POLYNESIAN	1004	258	0052	R	vd uvular trill	R	20
	136	MALAYO POLYNESIAN	1004	301	0061	a	low central unrnd perif vowel	a	20
	137	MALAYO POLYNESIAN	1004	350	0062	b	vd bilabial stp	b	20
	138	MALAYO POLYNESIAN	1004	367	006300E72015	cç―	vl palatal affricate	cç	20
	139	MALAYO POLYNESIAN	1004	374	0064	d	vd alveolar stp	d	20
	140	MALAYO POLYNESIAN	1004	406	004A	J	vd palatal stp	Ô	20
	141	MALAYO POLYNESIAN	1004	410	004A01342015	JĴ―	vd palatal affricate	ÔJ	20
	142	MALAYO POLYNESIAN	1004	439	0067	g	vd velar stp	g	20
	143	MALAYO POLYNESIAN	1004	474	0068	h	vl glottal fricative	h	20
	144	MALAYO POLYNESIAN	1004	490	006C00B0	l°	vl alveolar laterapprox	l9	20
	145	MALAYO POLYNESIAN	1004	534	0069	i	high front unrnd perif vowel	i	20
	146	MALAYO POLYNESIAN	1004	570	006A	j	vd palatal approxi	j	20
	147	MALAYO POLYNESIAN	1004	572	0134	Ĵ	vd palatal fricative	J	20
	148	MALAYO POLYNESIAN	1004	575	006B	k	vl velar stp	k	20
	149	MALAYO POLYNESIAN	1004	600	006C	l	vd alveolar laterapprox	l	20
	150	MALAYO POLYNESIAN	1004	623	006D	m	vd bilabial nasal	m	20
	151	MALAYO POLYNESIAN	1004	637	006E	n	vd alveolar nasal	n	20
	152	MALAYO POLYNESIAN	1004	224	014B	ŋ	vd velar nasal	N	20
	153	MALAYO POLYNESIAN	1004	723	0070	p	vl bilabial stp	p	20
	154	MALAYO POLYNESIAN	1004	737	0071	q	vl uvular stp	q	20
	155	MALAYO POLYNESIAN	1004	776	0156	Ŗ	vd alveolar flap	|	20
	156	MALAYO POLYNESIAN	1004	799	0074	t	vl alveolar stp	t	20
	157	MALAYO POLYNESIAN	1004	855	0075	u	high back rounded perif vowel	u	20
	158	MALAYO POLYNESIAN	1004	894	0077	w	vd labvel approxi	w	20
	159	MALAYO POLYNESIAN	1004	909	005A	Z	vd alveolar sib fricative	z	20
	160	MALAYO POLYNESIAN	1004	378	0044	D	vd retro stp	∂	20
	161	MALAYO POLYNESIAN	1004	673	0145	Ņ	vd palatal nasal	≠	20
	162	MALAYO POLYNESIAN	1004	802	0054	T	vl retro stp	Ê	20
	163	OLD CHINESE	1006	173	003F	?	vl glottal stp	/	20
	164	OLD CHINESE	1006	177	0045	E	himid central unrnd vowel	´	20
	165	OLD CHINESE	1006	227	014B0175	ŋŵ	labzd vd velar nasal	NW	20
	166	OLD CHINESE	1006	301	0061	a	low central unrnd perif vowel	a	20
	167	OLD CHINESE	1006	350	0062	b	vd bilabial stp	b	20
	168	OLD CHINESE	1006	374	0064	d	vd alveolar stp	d	20
	169	OLD CHINESE	1006	416	0064005A2015	dZ―	vd alveolar sib affricate	dz	20
	170	OLD CHINESE	1006	439	0067	g	vd velar stp	g	20
	171	OLD CHINESE	1006	464	00670175	gŵ	labzd vd velar stp	gW	20
	172	OLD CHINESE	1006	474	0068	h	vl glottal fricative	h	20
	173	OLD CHINESE	1006	534	0069	i	high front unrnd perif vowel	i	20
	174	OLD CHINESE	1006	540	00692202	i∂	high front unrnd tmcu diph	i´	20
	175	OLD CHINESE	1006	557	00690061	ia	high front unrnd tlcu diph	ia	20
	176	OLD CHINESE	1006	560	00690065	ie	high front unrnd thmfu diph	ie	20
	177	OLD CHINESE	1006	570	006A	j	vd palatal approxi	j	20
	178	OLD CHINESE	1006	575	006B	k	vl velar stp	k	20
	179	OLD CHINESE	1006	583	006B0175	kŵ	labzd vl velar stp	kW	20
	180	OLD CHINESE	1006	588	006B0125	kĥ	vl aspirate velar stp	kÓ	20
	181	OLD CHINESE	1006	600	006C	l	vd alveolar laterapprox	l	20
	182	OLD CHINESE	1006	623	006D	m	vd bilabial nasal	m	20
	183	OLD CHINESE	1006	637	006E	n	vd alveolar nasal	n	20
	184	OLD CHINESE	1006	224	014B	ŋ	vd velar nasal	N	20
	185	OLD CHINESE	1006	723	0070	p	vl bilabial stp	p	20
	186	OLD CHINESE	1006	735	00700125	pĥ	vl aspirate bilabial stp	pÓ	20
	187	OLD CHINESE	1006	763	0072	r	vd alveolar trill	r	20
	188	OLD CHINESE	1006	786	0073	s	vl alveolar sib fricative	s	20
	189	OLD CHINESE	1006	799	0074	t	vl alveolar stp	t	20
	190	OLD CHINESE	1006	844	00740125	tĥ	vl aspirate alveolar stp	tÓ	20
	191	OLD CHINESE	1006	849	007400732015	ts―	vl alveolar sib affricate	ts	20
	192	OLD CHINESE	1006	853	0074007320150125	ts―ĥ	vl aspirate alveolar sib affricate	tsÓ	20
	193	OLD CHINESE	1006	855	0075	u	high back rounded perif vowel	u	20
	194	OLD CHINESE	1006	868	00750061	ua	high back rounded tlcu diph	ua	20
	195	OLD CHINESE	1006	176	003F0175	?ŵ	labzd vl glottal stp	/w	20
	196	OLD CHINESE	1006	484	00680175	hŵ	labzd vl glottal fricative	hw	20
	197	OLD CHINESE	1006	587	006B01750125	kŵĥ	labzd vl aspirate velar stp	kÓW	20
	198	ESKIMO	1007	166	010F	ď	vd alveolar fricative	D	20
	199	ESKIMO	1007	177	0045	E	himid central unrnd vowel	´	20
	200	ESKIMO	1007	258	0052	R	vd uvular trill	R	20
	201	ESKIMO	1007	301	0061	a	low central unrnd perif vowel	a	20
	202	ESKIMO	1007	458	0120	Ġ	vd velar fricative	V	20
	203	ESKIMO	1007	498	013D	Ľ	vl alveolar laterfricativ	Ò	20
	204	ESKIMO	1007	534	0069	i	high front unrnd perif vowel	i	20
	205	ESKIMO	1007	570	006A	j	vd palatal approxi	j	20
	206	ESKIMO	1007	575	006B	k	vl velar stp	k	20
	207	ESKIMO	1007	600	006C	l	vd alveolar laterapprox	l	20
	208	ESKIMO	1007	623	006D	m	vd bilabial nasal	m	20
	209	ESKIMO	1007	637	006E	n	vd alveolar nasal	n	20
	210	ESKIMO	1007	224	014B	ŋ	vd velar nasal	N	20
	211	ESKIMO	1007	723	0070	p	vl bilabial stp	p	20
	212	ESKIMO	1007	737	0071	q	vl uvular stp	q	20
	213	ESKIMO	1007	799	0074	t	vl alveolar stp	t	20
	214	ESKIMO	1007	829	007400AF222B2015	t¯∫―	vl postalveol sib affricate	tS	20
	215	ESKIMO	1007	855	0075	u	high back rounded perif vowel	u	20
	216	ESKIMO	1007	888	0076	v	vd labdent fricative	v	20
	217	YOKUTS	1008	173	003F	?	vl glottal stp	/	20
	218	YOKUTS	1008	301	0061	a	low central unrnd perif vowel	a	20
	219	YOKUTS	1008	420	0065	e	himid front unrnd perif vowel	e	20
	220	YOKUTS	1008	534	0069	i	high front unrnd perif vowel	i	20
	221	YOKUTS	1008	570	006A	j	vd palatal approxi	j	20
	222	YOKUTS	1008	575	006B	k	vl velar stp	k	20
	223	YOKUTS	1008	576	006B0027	k'	vl velar ejective stp	k'	20
	224	YOKUTS	1008	588	006B0125	kĥ	vl aspirate velar stp	kÓ	20
	225	YOKUTS	1008	600	006C	l	vd alveolar laterapprox	l	20
	226	YOKUTS	1008	623	006D	m	vd bilabial nasal	m	20
	227	YOKUTS	1008	637	006E	n	vd alveolar nasal	n	20
	228	YOKUTS	1008	224	014B	ŋ	vd velar nasal	N	20
	229	YOKUTS	1008	693	006F	o	himid back rounded perif vowel	o	20
	230	YOKUTS	1008	723	0070	p	vl bilabial stp	p	20
	231	YOKUTS	1008	724	00700027	p'	vl bilabial ejective stp	p'	20
	232	YOKUTS	1008	735	00700125	pĥ	vl aspirate bilabial stp	pÓ	20
	233	YOKUTS	1008	786	0073	s	vl alveolar sib fricative	s	20
	234	YOKUTS	1008	789	0053	S	vl retro sib fricative	ß	20
	235	YOKUTS	1008	799	0074	t	vl alveolar stp	t	20
	236	YOKUTS	1008	800	00740027	t'	vl alveolar ejective stp	t'	20
	237	YOKUTS	1008	829	007400AF222B2015	t¯∫―	vl postalveol sib affricate	tS	20
	238	YOKUTS	1008	830	007400AF222B20150027	t¯∫―'	vl postalveol sib ejective affricate	tS'	20
	239	YOKUTS	1008	833	007400AF222B20150125	t¯∫―ĥ	vl aspirate postalveol sib affricate	tSÓ	20
	240	YOKUTS	1008	844	00740125	tĥ	vl aspirate alveolar stp	tÓ	20
	241	YOKUTS	1008	855	0075	u	high back rounded perif vowel	u	20
	242	YOKUTS	1008	894	0077	w	vd labvel approxi	w	20
	243	YOKUTS	1008	898	0078	x	vl velar fricative	x	20
	244	YOKUTS	1008	802	0054	T	vl retro stp	Ê	20
	245	YOKUTS	1008	805	00540125	Tĥ	vl aspirate retro stp	ÊÓ	20
	246	YOKUTS	1008	807	005400532015	TS―	vl retro sib affricate	ÊS	20
	247	YOKUTS	1008	808	0054005320150027	TS―'	vl retro sib ejective affricate	ÊS'	20
	248	YOKUTS	1008	809	00540053201502D90125	TS―˙ĥ	vl aspirate retro sib affricate	ÊSÓ	20
	249	YOKUTS	1008	961	00540027	T'	vl retro ejective stp	Ê'	20
	250	YOKUTS	1008	973	006A0027	j'	vd palatal ejective approxi	j'	20
	251	YOKUTS	1008	976	006C0027	l'	vd alveolar ejective laterapprox	l'	20
	252	YOKUTS	1008	978	006D0027	m'	vd bilabial ejective nasal	m'	20
	253	YOKUTS	1008	982	006E0027	n'	vd alveolar ejective nasal	n'	20
	254	YOKUTS	1008	983	014B0027	ŋ'	vd velar ejective nasal	N'	20
	255	YOKUTS	1008	996	00770027	w'	vd labvel ejective approxi	w'	20
	256	TANO CONGO	1009	420	0065	e	himid front unrnd perif vowel	e	21
	257	TANO CONGO	1009	534	0069	i	high front unrnd perif vowel	i	21
	258	TANO CONGO	1009	566	00692020	i†	naszd high front unrnd perif vowel	i)	21
	259	TANO CONGO	1009	693	006F	o	himid back rounded perif vowel	o	21
	260	TANO CONGO	1009	855	0075	u	high back rounded perif vowel	u	21
	261	TANO CONGO	1009	886	00752020	u†	naszd high back rounded perif vowel	u)	21
	262	TANO CONGO	1009	947	0061202000BE	a†¾	naszd atroot low central unrnd vowel	a)∞	21
	263	TANO CONGO	1009	951	006100BE	a¾	atroot low central unrnd perif vowel	a∞	21
	264	TANO CONGO	1009	964	006500BE	e¾	atroot himid front perif unrnd vowel	e∞	21
	265	TANO CONGO	1009	971	006900BE2020	i¾†	naszd atroot high front unrnd perif vowel	i)∞	21
	266	TANO CONGO	1009	972	006900BE	i¾	atroot high front unrnd perif vowel	i∞	21
	267	TANO CONGO	1009	985	006F00BE	o¾	atroot himid back rounded perif vowel	o∞	21
	268	TANO CONGO	1009	993	007500BE2020	u¾†	naszd atroot high back rounded perif vowel	u)∞	21
	269	TANO CONGO	1009	994	007500BE	u¾	atroot high back rounded perif vowel	u∞	21
	270	QUICHEAN	1010	173	003F	?	vl glottal stp	/	20
	271	QUICHEAN	1010	266	222B	∫	vl postalveol sib fricative	S	20
	272	QUICHEAN	1010	282	0058	X	vl uvular fricative	X	20
	273	QUICHEAN	1010	301	0061	a	low central unrnd perif vowel	a	20
	274	QUICHEAN	1010	313	006125BA	a►	long low central unrnd perif vowel	a…	20
	275	QUICHEAN	1010	420	0065	e	himid front unrnd perif vowel	e	20
	276	QUICHEAN	1010	422	006525BA	e►	long himid front unrnd perif vowel	e…	20
	277	QUICHEAN	1010	474	0068	h	vl glottal fricative	h	20
	278	QUICHEAN	1010	534	0069	i	high front unrnd perif vowel	i	20
	279	QUICHEAN	1010	539	006925BA	i►	long high front unrnd perif vowel	i…	20
	280	QUICHEAN	1010	570	006A	j	vd palatal approxi	j	20
	281	QUICHEAN	1010	575	006B	k	vl velar stp	k	20
	282	QUICHEAN	1010	576	006B0027	k'	vl velar ejective stp	k'	20
	283	QUICHEAN	1010	600	006C	l	vd alveolar laterapprox	l	20
	284	QUICHEAN	1010	623	006D	m	vd bilabial nasal	m	20
	285	QUICHEAN	1010	637	006E	n	vd alveolar nasal	n	20
	286	QUICHEAN	1010	693	006F	o	himid back rounded perif vowel	o	20
	287	QUICHEAN	1010	706	006F25BA	o►	long himid back rounded perif vowel	o…	20
	288	QUICHEAN	1010	723	0070	p	vl bilabial stp	p	20
	289	QUICHEAN	1010	737	0071	q	vl uvular stp	q	20
	290	QUICHEAN	1010	763	0072	r	vd alveolar trill	r	20
	291	QUICHEAN	1010	786	0073	s	vl alveolar sib fricative	s	20
	292	QUICHEAN	1010	799	0074	t	vl alveolar stp	t	20
	293	QUICHEAN	1010	800	00740027	t'	vl alveolar ejective stp	t'	20
	294	QUICHEAN	1010	829	007400AF222B2015	t¯∫―	vl postalveol sib affricate	tS	20
	295	QUICHEAN	1010	830	007400AF222B20150027	t¯∫―'	vl postalveol sib ejective affricate	tS'	20
	296	QUICHEAN	1010	849	007400732015	ts―	vl alveolar sib affricate	ts	20
	297	QUICHEAN	1010	850	0074007320150027	ts―'	vl alveolar sib ejective affricate	ts'	20
	298	QUICHEAN	1010	855	0075	u	high back rounded perif vowel	u	20
	299	QUICHEAN	1010	862	007525BA	u►	long high back rounded perif vowel	u…	20
	300	QUICHEAN	1010	894	0077	w	vd labvel approxi	w	20
	301	QUICHEAN	1010	898	0078	x	vl velar fricative	x	20
	302	QUICHEAN	1010	354	0392	Β	vd bilabial implosiv	∫	20
	303	QUICHEAN	1010	743	011E00B0	Ğ°	vl uvular implosiv	Ï9	20
	304	OLD TELUGU	1011	316	0041	A	low back unrnd perif vowel	A	20
	305	OLD TELUGU	1011	322	004125BA	A►	long low back unrnd perif vowel	A…	20
	306	OLD TELUGU	1011	350	0062	b	vd bilabial stp	b	20
	307	OLD TELUGU	1011	367	006300E72015	cç―	vl palatal affricate	cç	20
	308	OLD TELUGU	1011	374	0064	d	vd alveolar stp	d	20
	309	OLD TELUGU	1011	410	004A01342015	JĴ―	vd palatal affricate	ÔJ	20
	310	OLD TELUGU	1011	420	0065	e	himid front unrnd perif vowel	e	20
	311	OLD TELUGU	1011	422	006525BA	e►	long himid front unrnd perif vowel	e…	20
	312	OLD TELUGU	1011	439	0067	g	vd velar stp	g	20
	313	OLD TELUGU	1011	474	0068	h	vl glottal fricative	h	20
	314	OLD TELUGU	1011	534	0069	i	high front unrnd perif vowel	i	20
	315	OLD TELUGU	1011	539	006925BA	i►	long high front unrnd perif vowel	i…	20
	316	OLD TELUGU	1011	570	006A	j	vd palatal approxi	j	20
	317	OLD TELUGU	1011	575	006B	k	vl velar stp	k	20
	318	OLD TELUGU	1011	600	006C	l	vd alveolar laterapprox	l	20
	319	OLD TELUGU	1011	623	006D	m	vd bilabial nasal	m	20
	320	OLD TELUGU	1011	637	006E	n	vd alveolar nasal	n	20
	321	OLD TELUGU	1011	224	014B	ŋ	vd velar nasal	N	20
	322	OLD TELUGU	1011	693	006F	o	himid back rounded perif vowel	o	20
	323	OLD TELUGU	1011	706	006F25BA	o►	long himid back rounded perif vowel	o…	20
	324	OLD TELUGU	1011	723	0070	p	vl bilabial stp	p	20
	325	OLD TELUGU	1011	763	0072	r	vd alveolar trill	r	20
	326	OLD TELUGU	1011	776	0156	Ŗ	vd alveolar flap	|	20
	327	OLD TELUGU	1011	786	0073	s	vl alveolar sib fricative	s	20
	328	OLD TELUGU	1011	799	0074	t	vl alveolar stp	t	20
	329	OLD TELUGU	1011	855	0075	u	high back rounded perif vowel	u	20
	330	OLD TELUGU	1011	862	007525BA	u►	long high back rounded perif vowel	u…	20
	331	OLD TELUGU	1011	894	0077	w	vd labvel approxi	w	20
	332	OLD TELUGU	1011	378	0044	D	vd retro stp	∂	20
	333	OLD TELUGU	1011	492	013B00B0	Ļ°	vl retro laterapprox	�96	20
	334	OLD TELUGU	1011	603	013B	Ļ	vd retro laterapprox	�	20
	335	OLD TELUGU	1011	644	0144	ń	vd retro nasal	=	20
	336	OLD TELUGU	1011	802	0054	T	vl retro stp	Ê	20
	337	DRAVIDIAN	1012	301	0061	a	low central unrnd perif vowel	a	20
	338	DRAVIDIAN	1012	313	006125BA	a►	long low central unrnd perif vowel	a…	20
	339	DRAVIDIAN	1012	364	0063	c	vl palatal stp	c	20
	340	DRAVIDIAN	1012	420	0065	e	himid front unrnd perif vowel	e	20
	341	DRAVIDIAN	1012	422	006525BA	e►	long himid front unrnd perif vowel	e…	20
	342	DRAVIDIAN	1012	534	0069	i	high front unrnd perif vowel	i	20
	343	DRAVIDIAN	1012	539	006925BA	i►	long high front unrnd perif vowel	i…	20
	344	DRAVIDIAN	1012	570	006A	j	vd palatal approxi	j	20
	345	DRAVIDIAN	1012	575	006B	k	vl velar stp	k	20
	346	DRAVIDIAN	1012	600	006C	l	vd alveolar laterapprox	l	20
	347	DRAVIDIAN	1012	623	006D	m	vd bilabial nasal	m	20
	348	DRAVIDIAN	1012	637	006E	n	vd alveolar nasal	n	20
