BdprotoID,SourceLanguageName,SourceLanguageFamily,Phoneme,PhonemeNotes,Allophone,AllophoneNotes,SpecificDialect,Variants,LowconfidencePhonemic,LowconfidencePhonetic,LanguageName,LanguageFamily,LanguageFamilyRoot,Glottocode,Type,Macroarea,Dates,DatesSource,InventoryType,TimeDepth,TimeDepthYBP,Homeland,HomelandSource,BibtexKey,Source,Comments,PhonemeNFD
1061,AFRO-ASIATIC,Afro-Asiatic,ʕ,NA,NA,NA,NA,NA,NA,NA,Proto-Afro-Asiatic,Afro-Asiatic,Afro-Asiatic,afro1255,Reconstructed,Africa,NA,NA,all,9th-8th millenia B.C. (diakonoff1988afrasian),10000,NA,NA,ehret1995reconstructing,BDPROTO,NA,ʕ
1061,AFRO-ASIATIC,Afro-Asiatic,ʔ,NA,NA,NA,NA,NA,NA,NA,Proto-Afro-Asiatic,Afro-Asiatic,Afro-Asiatic,afro1255,Reconstructed,Africa,NA,NA,all,9th-8th millenia B.C. (diakonoff1988afrasian),10000,NA,NA,ehret1995reconstructing,BDPROTO,NA,ʔ
1061,AFRO-ASIATIC,Afro-Asiatic,ħ,NA,NA,NA,NA,NA,NA,NA,Proto-Afro-Asiatic,Afro-Asiatic,Afro-Asiatic,afro1255,Reconstructed,Africa,NA,NA,all,9th-8th millenia B.C. (diakonoff1988afrasian),10000,NA,NA,ehret1995reconstructing,BDPROTO,NA,ħ
1061,AFRO-ASIATIC,Afro-Asiatic,ŋ,NA,NA,NA,NA,NA,NA,NA,Proto-Afro-Asiatic,Afro-Asiatic,Afro-Asiatic,afro1255,Reconstructed,Africa,NA,NA,all,9th-8th millenia B.C. (diakonoff1988afrasian),10000,NA,NA,ehret1995reconstructing,BDPROTO,NA,ŋ
1061,AFRO-ASIATIC,Afro-Asiatic,ŋʷ,NA,NA,NA,NA,NA,NA,NA,Proto-Afro-Asiatic,Afro-Asiatic,Afro-Asiatic,afro1255,Reconstructed,Africa,NA,NA,all,9th-8th millenia B.C. (diakonoff1988afrasian),10000,NA,NA,ehret1995reconstructing,BDPROTO,NA,ŋʷ
1061,AFRO-ASIATIC,Afro-Asiatic,ʃ,NA,NA,NA,NA,NA,NA,NA,Proto-Afro-Asiatic,Afro-Asiatic,Afro-Asiatic,afro1255,Reconstructed,Africa,NA,NA,all,9th-8th millenia B.C. (diakonoff1988afrasian),10000,NA,NA,ehret1995reconstructing,BDPROTO,NA,ʃ
1061,AFRO-ASIATIC,Afro-Asiatic,a,NA,NA,NA,NA,NA,NA,NA,Proto-Afro-Asiatic,Afro-Asiatic,Afro-Asiatic,afro1255,Reconstructed,Africa,NA,NA,all,9th-8th millenia B.C. (diakonoff1988afrasian),10000,NA,NA,ehret1995reconstructing,BDPROTO,NA,a
1061,AFRO-ASIATIC,Afro-Asiatic,aː,NA,NA,NA,NA,NA,NA,NA,Proto-Afro-Asiatic,Afro-Asiatic,Afro-Asiatic,afro1255,Reconstructed,Africa,NA,NA,all,9th-8th millenia B.C. (diakonoff1988afrasian),10000,NA,NA,ehret1995reconstructing,BDPROTO,NA,aː
1061,AFRO-ASIATIC,Afro-Asiatic,b,NA,NA,NA,NA,NA,NA,NA,Proto-Afro-Asiatic,Afro-Asiatic,Afro-Asiatic,afro1255,Reconstructed,Africa,NA,NA,all,9th-8th millenia B.C. (diakonoff1988afrasian),10000,NA,NA,ehret1995reconstructing,BDPROTO,NA,b
1061,AFRO-ASIATIC,Afro-Asiatic,c,NA,NA,NA,NA,NA,NA,NA,Proto-Afro-Asiatic,Afro-Asiatic,Afro-Asiatic,afro1255,Reconstructed,Africa,NA,NA,all,9th-8th millenia B.C. (diakonoff1988afrasian),10000,NA,NA,ehret1995reconstructing,BDPROTO,NA,c
